id товара;наименование;ссылка на товар;промо цена;регулярная цена;бренд
231666;Кофе Monarch Brazilian Selection в зернах, 800г;https://online.metro-cc.ru/products/800g-kofe-monarch-brazilian-selection-zerno;1 090;1 159;MONARCH
243445;Кофе L’or Crema Absolu Classique в зернах, 1кг;https://online.metro-cc.ru/products/kofe-lor-crema-absolu-classique-v-zernah-1kg;2 029;2 029;L'OR
230305;Кофе Monarch Original растворимый, 270г;https://online.metro-cc.ru/products/kofe-monarch-original-rastvorimyy-270g;699;749;MONARCH
243175;RIOBA Кофе в капсулах Dolce Gusto Latte Macciato 8 порций 16 капсул, 192г х 3 шт;https://online.metro-cc.ru/products/rioba-kofe-v-kapsulah-dolce-gusto-latte-macciato-8-portsiy-16-kapsul-192g-h-3-sht;1 587;1 587;RIOBA
224846;Кофе MacCoffee Capuccino Di torino растворимый (25.5г x 20шт), 510г;https://online.metro-cc.ru/products/20shtx255g-kofe-maccoffee-cappuccino-di-torino-rastv;349;449;MACCOFFEE
243165;RIOBA Кофе в капсулах Dolce Gusto Americano 16шт, 112г х 3 шт;https://online.metro-cc.ru/products/rioba-kofe-v-kapsulah-dolce-gusto-americano-16sht-112g-h-3-sht;1 587;1 587;RIOBA
208703;Кофе Lavazza Expert Gusto Pieno в зернах, 1кг;https://online.metro-cc.ru/products/1kg-kofe-lavazza-expert-gusto-pieno-v-zernah;1 869;1 869;LAVAZZA
243172;RIOBA Кофе в капсулах Dolce Gusto Espresso 16шт, 112г х 3 шт;https://online.metro-cc.ru/products/rioba-kofe-v-kapsulah-dolce-gusto-espresso-16sht-112g-h-3-sht;1 587;1 587;RIOBA
230306;Кофе Monarch Milligrano растворимый с молотым, 200г;https://online.metro-cc.ru/products/kofe-monarch-milligrano-rastvorimyy-s-molotym-200g;509;509;MONARCH
120509;RIOBA Кофе в капсулах Cremoso для кофемашин Nespresso 11шт, 55г x 10 шт;https://online.metro-cc.ru/products/rioba-dlya-kofemashin-cremoso-11x5g-120509;2 790;2 790;RIOBA
120510;RIOBA Кофе в капсулах Armonioso для кофемашин Nespresso 11шт, 55г x 10 шт;https://online.metro-cc.ru/products/rioba-dlya-kofemashin-armonioso-10x5g-120510;2 790;2 790;RIOBA
581767;Кофе Carte Noire Original в зернах 800 г;https://online.metro-cc.ru/products/carte-noire-v-zernah-naturalnyj-zharenyj-800g;1 249;1 329;CARTE NOIRE
224736;Кофе Monarch Лесной орех растворимый, 95г;https://online.metro-cc.ru/products/95g-kofe-monarch-lesnoy-oreh-rastvorimyy-st;369;399;MONARCH
100813;Кофе в капсулах Julius Meinl Lungo Classico Bio для кофемашин Nespresso 10шт, 56г;https://online.metro-cc.ru/products/julius-meinl-lungo-classico-10-56g;449;569;JULIUS MEINL
426450;Кофе Carte Noire Original растворимый сублимированный, 150г;https://online.metro-cc.ru/products/carte-noire-sublimirovannyj-original-150g;789;789;CARTE NOIRE
227972;Кофе Fresco Arabica Solo растворимый, 190г;https://online.metro-cc.ru/products/kofe-fresco-arabica-solo-rastvorimyy-190g;449;519;FRESCO
